CC,COUNTRY,REACTOR_CODE,REACTOR_NAME,TYPE,MWT,MWE_G,MWE_N,OPERATOR,NSSS_SUPPLIER,CONST_START,GRID_CONN,OP_START,SHUTDOWN
uk,UK,GB-1B,CALDER HALL-2,GCR,268,60,49,SL,UKAEA,08-1953,02-1957,02-1957,03-2020
uk,UK,GB-1C,CALDER HALL-3,GCR,268,60,49,SL,UKAEA,08-1955,03-1958,05-1958,03-2020
uk,UK,GB-1D,CALDER HALL-4,GCR,268,60,49,SL,UKAEA,08-1955,04-1959,04-1959,03-2020
uk,UK,GB-2A,CHAPELCROSS-1,GCR,260,60,48,ML,UKAEA,10-1955,02-1959,03-1959,06-2020
uk,UK,GB-2B,CHAPELCROSS-2,GCR,260,60,48,ML,UKAEA,10-1955,07-1959,08-1959,06-2020
uk,UK,GB-2C,CHAPELCROSS-3,GCR,260,60,48,ML,UKAEA,10-1955,11-1959,12-1959,06-2020
uk,UK,GB-2D,CHAPELCROSS-4,GCR,260,60,48,ML,UKAEA,10-1955,01-1960,03-1960,06-2020
uk,UK,GB-14,DOUNREAY DFR,FBR,60,15,11,UKAEA,UKAEA,03-1955,10-1962,10-1962,03-1977
uk,UK,GB-15,DOUNREAY PFR,FBR,600,250,234,UKAEA,TNPG,01-1966,01-1975,07-1976,03-1994
uk,UK,GB-9A,DUNGENESS A-1,GCR,840,230,225,ML,TNPG,07-1960,09-1965,10-1965,12-2020
uk,UK,GB-9B,DUNGENESS A-2,GCR,840,230,225,ML,TNPG,07-1960,11-1965,12-1965,12-2020
uk,UK,GB-7A,HINKLEY POINT A-1,GCR,900,267,235,ML,EE/B&W/T,11-1957,02-1965,03-1965,05-2000
uk,UK,GB-7B,HINKLEY POINT A-2,GCR,900,267,235,ML,EE/B&W/T,11-1957,03-1965,05-1965,05-2000
uk,UK,GB-6A,HUNTERSTON A-1,GCR,595,173,150,ML,GEC,10-1957,02-1964,02-1964,03-1990
uk,UK,GB-6B,HUNTERSTON A-2,GCR,595,173,150,ML,GEC,10-1957,06-1964,07-1964,12-1989
uk,UK,GB-11A,OLDBURY A-1,GCR,730,230,217,ML,TNPG,05-1962,11-1967,12-1967,02-2020
uk,UK,GB-11B,OLDBURY A-2,GCR,660,230,217,ML,TNPG,05-1962,04-1968,09-1968,06-2020
uk,UK,GB-10A,SIZEWELL A-1,GCR,1010,245,210,ML,EE/B&W/T,04-1961,01-1966,03-1966,12-2020
uk,UK,GB-10B,SIZEWELL A-2,GCR,1010,245,210,ML,EE/B&W/T,04-1961,04-1966,09-1966,12-2020
uk,UK,GB-8A,TRAWSFYNYDD-1,GCR,850,235,195,ML,APC,07-1959,01-1965,03-1965,02-1991
uk,UK,GB-8B,TRAWSFYNYDD-2,GCR,850,235,195,ML,APC,07-1959,02-1965,03-1965,02-1991
uk,UK,GB-5,WINDSCALE AGR,GCR,120,36,24,UKAEA,UKAEA,11-1958,02-1963,03-1963,04-1981
uk,UK,GB-12,WINFRITH SGHWR,SGHWR,318,100,92,UKAEA,ICL/FE,05-1963,12-1967,01-1968,09-1990
uk,UK,GB-13A,WYLFA-1,GCR,1650,530,490,ML,EE/B&W/T,09-1963,01-1971,11-1971,12-2020
uk,UK,GB-13B,WYLFA-2,GCR,1920,540,490,ML,EE/B&W/T,09-1963,07-1971,01-1972,04-2020
ua,UKRAINE,UA-25,CHERNOBYL-1,LWGR,3200,800,740,MTE,FAEA,03-1970,09-1977,05-1978,11-1996
ua,UKRAINE,UA-26,CHERNOBYL-2,LWGR,3200,1000,925,MTE,FAEA,02-1973,12-1978,05-1979,10-1991
ua,UKRAINE,UA-42,CHERNOBYL-3,LWGR,3200,1000,925,MTE,FAEA,03-1976,12-1981,06-1982,12-2000
ua,UKRAINE,UA-43,CHERNOBYL-4,LWGR,3200,1000,925,MTE,FAEA,04-1979,12-1983,03-1984,04-1986
us,USA,US-155,BIG ROCK POINT,BWR,240,71,67,CPC,GE,05-1960,12-1962,03-1963,08-1997
us,USA,US-014,BONUS,BWR,50,18,17,DOE/PRWR,GNEPRWRA,01-1960,08-1964,09-1965,06-1968
us,USA,US-302,CRYSTAL RIVER-3,PWR,2568,890,860,PROGRESS,B&W,09-1968,01-1977,03-1977,02-2020
us,USA,US-144,CVTR,PHWR,65,19,17,CVPA,WH,01-1960,12-1963,12-1963,01-1967
us,USA,US-10,DRESDEN-1,BWR,700,207,197,EXELON,GE,05-1956,04-1960,07-1960,10-1978
us,USA,US-011,ELK RIVER,BWR,58,24,22,RCPA,AC,01-1959,08-1963,07-1964,02-1968
us,USA,US-16,FERMI-1,FBR,200,65,61,DTEDISON,UEC,08-1956,08-1966,08-1966,11-1972
us,USA,US-285,FORT CALHOUN-1,PWR,1500,512,482,EXELON,CE,06-1968,08-1973,09-1973,10-2020
us,USA,US-267,FORT ST. VRAIN,HTGR,842,342,330,PSCC,GA,09-1968,12-1976,07-1979,08-1989
us,USA,US-018,GE VALLECITOS,BWR,50,24,24,GE,GE,01-1956,10-1957,10-1957,12-1963
us,USA,US-213,HADDAM NECK,PWR,1825,603,560,CYAPC,WH,05-1964,08-1967,01-1968,12-1996
us,USA,US-077,HALLAM,X,256,84,75,AEC/NPPD,GE,01-1959,09-1963,11-1963,09-1964
us,USA,US-133,HUMBOLDT BAY,BWR,220,65,63,PG&E,GE,11-1960,04-1963,08-1963,07-1976
us,USA,US-013,INDIAN POINT-1,PWR,615,277,257,ENTERGY,B&W,05-1956,09-1962,10-1962,10-1974
us,USA,US-305,KEWAUNEE,PWR,1772,595,566,DOMINION,WH,08-1968,04-1974,06-1974,05-2020
us,USA,US-409,LACROSSE,BWR,165,55,48,DPC,AC,03-1963,04-1968,11-1969,04-1987
us,USA,US-309,MAINE YANKEE,PWR,2630,900,860,MYAPC,CE,10-1968,11-1972,12-1972,08-1997
us,USA,US-245,MILLSTONE-1,BWR,2011,684,641,DOMINION,GE,05-1966,11-1970,03-1971,07-1998
us,USA,US-219,OYSTER CREEK,BWR,1930,652,619,EXELON,GE,12-1964,09-1969,12-1969,09-2020
us,USA,US-130,PATHFINDER,BWR,220,63,59,NMC,AC,01-1959,07-1966,08-1966,10-1967
us,USA,US-171,PEACH BOTTOM-1,HTGR,115,42,40,EXELON,GA,02-1962,01-1967,06-1967,11-1974
us,USA,US-293,PILGRIM-1,BWR,2028,711,677,ENTERGY,GE,08-1968,07-1972,12-1972,05-2020
us,USA,US-012,PIQUA,X,46,12,12,CofPiqua,GE,01-1960,07-1963,11-1963,01-1966
us,USA,US-312,RANCHO SECO-1,PWR,2772,917,873,SMUD,B&W,04-1969,10-1974,04-1975,06-1989
us,USA,US-206,SAN ONOFRE-1,PWR,1347,456,436,SCE,WH,05-1964,07-1967,01-1968,11-1992
us,USA,US-361,SAN ONOFRE-2,PWR,3438,1127,1070,SCE,CE,03-1974,09-1982,08-1983,06-2020
us,USA,US-362,SAN ONOFRE-3,PWR,3438,1127,1080,SCE,CE,03-1974,09-1983,04-1984,06-2020
us,USA,US-146,SAXTON,PWR,24,3,3,SNEC,GE,01-1960,03-1967,03-1967,05-1972
us,USA,US-001,SHIPPINGPORT,PWR,236,68,60,DOE DUQU,WH,01-1954,12-1957,05-1958,10-1982
us,USA,US-322,SHOREHAM,BWR,2436,849,820,LIPA,GE,11-1972,08-1986,08-1986,05-1989
us,USA,US-289,THREE MILE ISLAND-1,PWR,2568,880,819,EXELON,B&W,05-1968,06-1974,09-1974,09-2020
us,USA,US-320,THREE MILE ISLAND-2,PWR,2772,959,880,GPU,B&W,11-1969,04-1978,12-1978,03-1979
us,USA,US-344,TROJAN,PWR,3411,1155,1095,PORTGE,WH,02-1970,12-1975,05-1976,11-1992
us,USA,US-271,VERMONT YANKEE,BWR,1912,635,605,ENTERGY,GE,12-1967,09-1972,11-1972,12-2020
us,USA,US-29,YANKEE NPS,PWR,600,180,167,YAEC,WH,11-1957,11-1960,07-1961,10-1991
us,USA,US-295,ZION-1,PWR,3250,1085,1040,EXELON,WH,12-1968,06-1973,12-1973,02-1998
us,USA,US-304,ZION-2,PWR,3250,1085,1040,EXELON,WH,12-1968,12-1973,09-1974,02-1998
us,USA,US-247,INDIAN POINT-2,PWR,3216,1067,998,ENTERGY,WH,10-1966,06-1973,08-1974,04-2020
